#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:tree" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:tree" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.simulated_cognate_data_100" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="bcov_alpha_prior.s:simulated_cognate_data_100" name="distribution">
#            <parameter id="bcov_alpha.s:simulated_cognate_data_100" lower="1.0E-4" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1</parameter>
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="bcov_s_prior.s:simulated_cognate_data_100" name="distribution">
#            <parameter id="bcov_s.s:simulated_cognate_data_100" lower="1.0E-4" name="x" spec="beast.base.inference.parameter.RealParameter" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <alpha id="Function$Constant.0" spec="beast.base.core.Function$Constant" value="0.05"/>
#                <beta id="Function$Constant.1" spec="beast.base.core.Function$Constant" value="10.0"/>
#            </Gamma>
#        </prior>
#        <prior id="YuleBirthRatePrior.t:tree" name="distribution" x="@birthRate.t:tree">
#            <Uniform id="Uniform.2" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.simulated_cognate_data_100" spec="beast.base.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@simulated_cognate_data_100" excludeto="1" filter="-" id="orgdata.simulated_cognate_data_100" spec="beast.base.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.base.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:simulated_cognate_data_100" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:simulated_cognate_data_100" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:simulated_cognate_data_100" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:simulated_cognate_data_100" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:simulated_cognate_data_100" id="covarion" spec="beast.base.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:simulated_cognate_data_100">
#                    <parameter dimension="2" id="frequencies.s:simulated_cognate_data_100" lower="0.0" name="vfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.95 0.05</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:simulated_cognate_data_100" lower="0.0" name="hfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@simulated_cognate_data_100" estimate="false" id="dummyfrequencies.s:simulated_cognate_data_100" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:clock" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.simulated_cognate_data_100	Tree.t:tree.height	Tree.t:tree.treeLength	mutationRate.s:simulated_cognate_data_100	bcov_alpha.s:simulated_cognate_data_100	bcov_s.s:simulated_cognate_data_100	YuleModel.t:tree	birthRate.t:tree	frequencies.s:simulated_cognate_data_100.1	frequencies.s:simulated_cognate_data_100.2
18000	-127.23851945735089	-111.11266595798992	-16.12585349936098	-111.11266595798992	1.5031378966261795	14.098855630842484	1.0	0.09894323460405753	0.5557791630830712	-13.544282167066061	1.1558483058770868	0.9694297064017827	0.030570293598217377
19000	-111.24069028053145	-100.61627796389725	-10.624412316634206	-100.61627796389725	1.072772902370991	9.063243678647165	1.0	0.09894323460405753	0.6354785370559698	-7.907564121356748	3.496891094521309	0.9694297064017827	0.030570293598217377
20000	-105.68149757851411	-100.87932549233129	-4.802172086182816	-100.87932549233129	0.6433983076510084	6.3935116657131985	1.0	0.09220351764836994	0.47992666589986	-2.367586831712474	5.359536551938943	0.9768481281484632	0.02315187185153689
21000	-109.13391079420292	-111.75236801484485	2.618457220641928	-111.75236801484485	0.5383814837601958	5.3574554993985135	1.0	0.07969143370941163	0.47992666589986	5.05304247511227	3.5440387275287044	0.9768481281484632	0.02315187185153689
22000	-114.13901847094552	-104.08297257345528	-10.05604589749023	-104.08297257345528	1.4435533384125865	9.975345989866872	1.0	0.06191581871018974	0.44272758275032803	-7.701825287188133	1.3656566932944505	0.972661361629916	0.027338638370084125
23000	-117.1982435627398	-102.18440710387273	-15.013836458867079	-102.18440710387273	1.4143448144836253	13.826761517714727	1.0	0.06191581871018974	0.32614682656561883	-12.961600550742174	1.3649438000666259	0.9640600070771023	0.035939992922897825
24000	-110.46771764107964	-108.0593527186078	-2.408364922471845	-108.0593527186078	0.8217273048782954	7.211270181241632	1.0	0.06191581871018974	0.2531369654817936	-0.6041761128616523	2.726516220915971	0.9686012112117867	0.0313987887882134
25000	-111.82977652066404	-106.34568947531255	-5.484087045351489	-106.34568947531255	0.8911776634668537	8.326535447344165	1.0	0.06191581871018974	0.33364410534822553	-3.4095105657273272	2.0735462232369195	0.9720787655961756	0.02792123440382453
26000	-116.48844452058246	-102.79539746997514	-13.693047050607314	-102.79539746997514	1.3437206994901951	12.611825912883981	1.0	0.06191581871018974	0.4238647928263074	-11.382075837099208	1.7160692243532971	0.9637175758021105	0.036282424197889636
27000	-125.2333615419231	-114.07848706312473	-11.154874478798375	-114.07848706312473	1.3422370977898312	11.42419443229948	1.0	0.05811556187464909	0.24944773887552077	-9.365001805907454	1.5708103909178932	0.9693304120620333	0.03066958793796687
28000	-118.09799004932886	-110.59084998281259	-7.507140066516277	-110.59084998281259	1.6947081582756225	9.378184309553108	1.0	0.050557412364774026	0.19962570370097343	-5.933914630416528	2.439438923504576	0.980486335785018	0.0195136642149822
29000	-102.92275276580135	-102.76317470884787	-0.15957805695348148	-102.76317470884787	0.8390716201011827	6.389072514406815	1.0	0.050557412364774026	0.15442981478215875	1.1652585990694568	3.741707468356054	0.9871528039389402	0.01284719606105993
30000	-116.90162686676989	-107.78239039109415	-9.119236475675736	-107.78239039109415	1.0418159499437372	9.722467455635497	1.0	0.052720628905943125	0.23829944649328963	-7.373913932055208	1.3615169821333508	0.9785768142835467	0.0214231857164534
31000	-109.75476663169387	-110.88250518973709	1.1277385580432169	-110.88250518973709	0.5262055703190799	5.7118316580072594	1.0	0.052720628905943125	0.4165962883824023	3.421550866055347	2.679086692252364	0.9723007878450951	0.02769921215490497
32000	-131.17098915564165	-103.49751068756287	-27.67347846807879	-103.49751068756287	4.574004008740512	26.688937832402402	1.0	0.037564876539010014	0.3355944267339124	-25.59316988553256	0.6298660181905376	0.9651535943817933	0.03484640561820676
33000	-138.11272658866878	-108.24280324879919	-29.869923339869587	-108.24280324879919	4.063944796246634	28.557843305782082	1.0	0.037564876539010014	0.3355944267339124	-27.789614757323356	0.911309434981761	0.9542176836106759	0.045782316389324076
34000	-137.74438752471312	-108.05567116161065	-29.688716363102472	-108.05567116161065	3.3696152078396846	28.21491418488962	1.0	0.038102659935405396	0.3355944267339124	-27.608407780556238	0.9286737095298159	0.9659842966884964	0.03401570331150358
35000	-146.1917001398141	-107.41276824431569	-38.77893189549841	-107.41276824431569	5.513488452758178	48.2009577698412	1.0	0.034128294703949104	0.3355944267339124	-36.69862331295218	0.38106237237327967	0.9477071541416376	0.052292845858362275
36000	-126.0050244121325	-110.71220309796824	-15.292821314164252	-110.71220309796824	1.613341391628504	14.002693118046274	1.0	0.034128294703949104	0.3355944267339124	-13.21251273161802	1.3110082758546517	0.9477071541416376	0.052292845858362275
37000	-122.75785742478179	-102.76787474408431	-19.98998268069748	-102.76787474408431	2.282873610885807	17.824596439238796	1.0	0.03205365215915557	0.3355944267339124	-17.90967409815125	1.1918800267642078	0.9477071541416376	0.052292845858362275
38000	-130.18201746681626	-107.9116974287972	-22.27032003801905	-107.9116974287972	2.213766120504518	19.301322483872074	1.0	0.03205365215915557	0.3355944267339124	-20.190011455472817	0.7128686625734171	0.9541625324934044	0.04583746750659538
39000	-112.43560029397209	-105.89387811593875	-6.541722178033333	-105.89387811593875	1.1287234219017512	8.680605677850181	1.0	0.03205365215915557	0.3417009696865069	-4.443671943296432	2.6205576231975165	0.9541625324934044	0.04583746750659538
40000	-118.95736670012747	-105.13465482060604	-13.822711879521428	-105.13465482060604	1.4516965053044648	12.85383289718883	1.0	0.03205365215915557	0.33485686050857066	-11.744567252274567	1.6846223103646243	0.9541625324934044	0.04583746750659538
41000	-137.5812841115913	-118.61127626963578	-18.970007841955507	-118.61127626963578	1.6325376695670577	16.87356993916899	1.0	0.018219066199191176	0.33485686050857066	-16.891863214708646	1.2719489121158312	0.963461939959208	0.036538060040791756
42000	-143.73612517107344	-115.39367728693566	-28.342447884137773	-115.39367728693566	4.551915833666177	28.06224395404915	1.0	0.018219066199191176	0.21106700193706918	-26.71513339687055	0.5628150290318291	0.9618627017222697	0.03813729827773004
43000	-145.36524846402784	-116.33912040939087	-29.026128054636967	-116.33912040939087	2.8206321945000465	28.827536625520743	1.0	0.02540306580189081	0.19480169545818218	-27.476623954405824	0.8315956119483983	0.9444218168340475	0.05557818316595225
44000	-128.13544452331195	-105.1177313122847	-23.01771321102724	-105.1177313122847	3.3864131098269223	21.538307580440414	1.0	0.05121985227019132	0.19480169545818218	-21.468209110796096	0.800985138126888	0.9444218168340475	0.05557818316595225
45000	-128.0384712323609	-114.5280019647076	-13.510469267653296	-114.5280019647076	1.3722484782468423	12.17067783203524	1.0	0.07324715302606696	0.12628820844223432	-12.379561175819955	2.353021319332303	0.9519018003774948	0.04809819962250486
46000	-141.7909049438267	-119.73442443233489	-22.0564805114918	-119.73442443233489	1.9921906286741549	20.87232724913151	1.0	0.07324715302606696	0.12628820844223432	-20.925572419658458	1.025255182220961	0.9519018003774948	0.04809819962250486
47000	-144.55548828942165	-119.77403403828262	-24.781454251139028	-119.77403403828262	2.238413085652473	24.403455243143192	1.0	0.03657302243331314	0.09946111805509039	-23.880088743911887	0.8712031205226867	0.9694262534285657	0.03057374657143395
