#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:tree" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:tree" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.simulated_cognate_data" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="bcov_alpha_prior.s:simulated_cognate_data" name="distribution">
#            <parameter id="bcov_alpha.s:simulated_cognate_data" lower="1.0E-4" name="x" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1</parameter>
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="bcov_s_prior.s:simulated_cognate_data" name="distribution">
#            <parameter id="bcov_s.s:simulated_cognate_data" lower="1.0E-4" name="x" spec="beast.base.inference.parameter.RealParameter" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <alpha id="Function$Constant.0" spec="beast.base.core.Function$Constant" value="0.05"/>
#                <beta id="Function$Constant.1" spec="beast.base.core.Function$Constant" value="10.0"/>
#            </Gamma>
#        </prior>
#        <prior id="YuleBirthRatePrior.t:tree" name="distribution" x="@birthRate.t:tree">
#            <Uniform id="Uniform.2" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.simulated_cognate_data" spec="beast.base.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@simulated_cognate_data" excludeto="1" filter="-" id="orgdata.simulated_cognate_data" spec="beast.base.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.base.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:simulated_cognate_data" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:simulated_cognate_data" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:simulated_cognate_data" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:simulated_cognate_data" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel alpha="@bcov_alpha.s:simulated_cognate_data" id="covarion" spec="beast.base.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:simulated_cognate_data">
#                    <parameter dimension="2" id="frequencies.s:simulated_cognate_data" lower="0.0" name="vfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.95 0.05</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:simulated_cognate_data" lower="0.0" name="hfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@simulated_cognate_data" estimate="false" id="dummyfrequencies.s:simulated_cognate_data" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:clock" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">0.05</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.simulated_cognate_data	Tree.t:tree.height	Tree.t:tree.treeLength	mutationRate.s:simulated_cognate_data	bcov_alpha.s:simulated_cognate_data	bcov_s.s:simulated_cognate_data	YuleModel.t:tree	frequencies.s:simulated_cognate_data.1	frequencies.s:simulated_cognate_data.2	birthRate.t:tree
17000	-1814.524532462995	-1788.0524516049804	-26.47208085801457	-1788.0524516049804	2.7148877258365416	23.774640283817494	1.0	0.04029556979851829	0.27940699945977604	-24.571463194051265	0.9072776712058206	0.09272232879417941	0.5377688908651277
18000	-1815.4883083966597	-1786.5161779914977	-28.97213040516206	-1786.5161779914977	3.710614045219521	28.21156468379229	1.0	0.049069407018788	0.2632879386806219	-27.12957482630852	0.9072776712058206	0.09272232879417941	0.8603257199301656
19000	-1812.1574248082688	-1784.427797296977	-27.729627511291984	-1784.427797296977	3.3303229422769807	27.142395436161458	1.0	0.03370742324679633	0.28235540064194653	-25.8187427953211	0.9072776712058206	0.09272232879417941	0.7477335849100338
20000	-1818.6138644767318	-1789.5810283901785	-29.032836086553264	-1789.5810283901785	3.2279567272734373	28.66840558475102	1.0	0.03370742324679633	0.28176709724968346	-27.123991644410737	0.9072776712058206	0.09272232879417941	0.7893982772987669
21000	-1809.5704262228292	-1782.1942828830097	-27.376143339819503	-1782.1942828830097	3.4787219325872916	26.704248709637113	1.0	0.04014259594436946	0.28176709724968346	-25.467298897676976	0.9116908241144243	0.08830917588557577	0.7108215766098265
22000	-1804.464163050243	-1776.6657341903638	-27.798428859879284	-1776.6657341903638	3.664282299031236	26.811225494191465	1.0	0.04796017115933087	0.25408393253965544	-25.990598103228344	0.9169298888377243	0.08307011116227576	0.5657957255777947
23000	-1804.0803524800629	-1778.4372649195802	-25.643087560482716	-1778.4372649195802	3.4425923026655845	24.484726998157782	1.0	0.04482456303782636	0.25408393253965544	-23.835256803831776	0.9169298888377243	0.08307011116227576	0.7439532334634003
24000	-1802.8870113239373	-1777.932691482931	-24.95431984100618	-1777.932691482931	2.591001828809636	22.78445652966896	1.0	0.032011677746012775	0.25408393253965544	-23.146489084355238	0.9227409753514382	0.07725902464856191	0.6281656441447698
25000	-1798.9942554619956	-1774.902019786598	-24.092235675397763	-1774.902019786598	3.073003741469357	22.62943289006291	1.0	0.032011677746012775	0.22492675238692353	-22.403115995447322	0.9227409753514382	0.07725902464856191	0.7641488605994274
26000	-1801.1990656842247	-1773.6618053932307	-27.53726029099399	-1773.6618053932307	3.619596902079347	27.122026434757327	1.0	0.034749610976673305	0.18201152841886017	-26.053551670853793	0.9227409753514382	0.07725902464856191	0.5849177062398374
27000	-1804.9499307670117	-1777.8511882701544	-27.098742496857202	-1777.8511882701544	3.1701559502110377	25.86463630185744	1.0	0.04058239892237468	0.19174878873550322	-25.564549860148865	0.9227409753514382	0.07725902464856191	0.5523120550352262
28000	-1806.542628848609	-1779.1259771729779	-27.416651675631027	-1779.1259771729779	3.8999368614202283	26.87065215193473	1.0	0.02669474145951266	0.19174878873550322	-25.88245903892269	0.9227409753514382	0.07725902464856191	0.8396224851509663
29000	-1805.5753276011465	-1778.113244484031	-27.4620831171155	-1778.113244484031	4.472846418486787	27.846656384258267	1.0	0.019748126353704563	0.1347209409799186	-26.268924823929964	0.9228755708882103	0.07712442911178982	0.6657019839246482
30000	-1802.934584425498	-1778.377991390493	-24.556593035005196	-1778.377991390493	3.3827461816860787	23.902360447797115	1.0	0.028181595488944788	0.1347209409799186	-23.36343474181966	0.9228755708882103	0.07712442911178982	0.8070813692848766
31000	-1804.057175896993	-1777.395766627063	-26.661409269929955	-1777.395766627063	3.8024167960925674	25.700867003752965	1.0	0.028181595488944788	0.20033024248882086	-25.08476644863496	0.9228755708882103	0.07712442911178982	0.8892753689477345
32000	-1805.9815105710227	-1778.7540724785438	-27.227438092479005	-1778.7540724785438	2.8065197257837973	24.758384976870236	1.0	0.028181595488944788	0.20033024248882086	-25.65079527118401	0.9275437013247037	0.07245629867529643	1.1294906159386129
33000	-1795.0487916439627	-1774.8042676990972	-20.244523944865435	-1774.8042676990972	2.382842408138788	18.670231581962742	1.0	0.025182687219171666	0.20033024248882086	-18.66788112357044	0.9367800528732455	0.06321994712675454	1.0253892485302936
