#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:tree" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter estimate="false" id="birthRate.t:tree" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:tree" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.simulated_cognate_data_short" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="bcov_s_prior.s:simulated_cognate_data_short" name="distribution">
#            <parameter id="bcov_s.s:simulated_cognate_data_short" lower="1.0E-4" name="x" spec="beast.base.inference.parameter.RealParameter" upper="Infinity">0.5</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <alpha id="Function$Constant.0" spec="beast.base.core.Function$Constant" value="0.05"/>
#                <beta id="Function$Constant.1" spec="beast.base.core.Function$Constant" value="10.0"/>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution id="treeLikelihood.simulated_cognate_data_short" spec="beast.base.evolution.likelihood.TreeLikelihood" tree="@Tree.t:tree" useAmbiguities="true">
#            <data ascertained="true" data="@simulated_cognate_data_short" excludeto="1" filter="-" id="orgdata.simulated_cognate_data_short" spec="beast.base.evolution.alignment.FilteredAlignment">
#                <userDataType id="TwoStateCovarion.0" spec="beast.base.evolution.datatype.TwoStateCovarion"/>
#            </data>
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:simulated_cognate_data_short" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:simulated_cognate_data_short" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:simulated_cognate_data_short" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:simulated_cognate_data_short" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="covarion" spec="beast.base.evolution.substitutionmodel.BinaryCovarion" switchRate="@bcov_s.s:simulated_cognate_data_short">
#                    <parameter estimate="false" id="bcov_alpha.s:simulated_cognate_data_short" lower="1.0E-4" name="alpha" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.1</parameter>
#                    <parameter dimension="2" id="frequencies.s:simulated_cognate_data_short" lower="0.0" name="vfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.95 0.05</parameter>
#                    <parameter dimension="2" estimate="false" id="hiddenfrequencies.s:simulated_cognate_data_short" lower="0.0" name="hfrequencies" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@simulated_cognate_data_short" estimate="false" id="dummyfrequencies.s:simulated_cognate_data_short" spec="beast.base.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:clock" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:clock" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood.simulated_cognate_data_short	Tree.t:tree.height	Tree.t:tree.treeLength	mutationRate.s:simulated_cognate_data_short	YuleModel.t:tree	frequencies.s:simulated_cognate_data_short.1	frequencies.s:simulated_cognate_data_short.2	bcov_s.s:simulated_cognate_data_short
37000	-4576.072835338786	-4572.677602763643	-3.395232575142793	-4572.677602763643	0.1913601740432262	1.3567846867003563	1.0	-1.3567846867003561	0.8248634499313908	0.17513655006860918	0.3216012565051469
38000	-4576.675022737385	-4573.185459757877	-3.489562979508387	-4573.185459757877	0.20217465625497222	1.4511150910659505	1.0	-1.4511150910659505	0.828432022609124	0.17156797739087604	0.3216012565051469
39000	-4574.413559037451	-4571.015098573759	-3.398460463691675	-4571.015098573759	0.1779595682949297	1.3600125752492378	1.0	-1.3600125752492382	0.828432022609124	0.17156797739087604	0.3216012565051469
40000	-4575.502771089732	-4571.997136852634	-3.505634237098144	-4571.997136852634	0.1951849431012888	1.4671863486557073	1.0	-1.4671863486557073	0.828432022609124	0.17156797739087604	0.3216012565051469
41000	-4570.678478344538	-4567.1878778356595	-3.490600508878703	-4567.1878778356595	0.1988252829386727	1.4521526204362667	1.0	-1.4521526204362663	0.8264464143288542	0.17355358567114576	0.3216012565051469
42000	-4570.514321974221	-4567.106106502076	-3.408215472145031	-4567.106106502076	0.1831363021899337	1.3697675837025944	1.0	-1.3697675837025944	0.8035428887147353	0.19645711128526466	0.3216012565051469
43000	-4571.325782174931	-4568.235098886633	-3.0906832882986657	-4568.235098886633	0.189861820154912	1.4027958191446745	1.0	-1.4027958191446745	0.811965052167653	0.18803494783234692	0.22464193202752755
44000	-4566.877057702275	-4563.803917535598	-3.073140166677593	-4563.803917535598	0.1795012054606099	1.3852526975236024	1.0	-1.3852526975236021	0.8103455795540359	0.18965442044596403	0.22464193202752755
45000	-4576.363213663329	-4573.156534530945	-3.206679132383841	-4573.156534530945	0.19600296950509477	1.5187916632298502	1.0	-1.5187916632298502	0.8103455795540359	0.18965442044596403	0.22464193202752755
46000	-4569.495313157366	-4566.313461546253	-3.1818516111122586	-4566.313461546253	0.2020279996024864	1.4939641419582672	1.0	-1.4939641419582672	0.8103455795540359	0.18965442044596403	0.22464193202752755
47000	-4579.342624160265	-4575.780234107378	-3.5623900528867125	-4575.780234107378	0.20909974714219065	1.480860760595768	1.0	-1.4808607605957675	0.8103455795540359	0.18965442044596403	0.3360111875374688
48000	-4580.417085662803	-4576.917623802761	-3.499461860041979	-4576.917623802761	0.1872438063660669	1.427731620717491	1.0	-1.4277316207174913	0.8103455795540359	0.18965442044596403	0.3326797580880839
49000	-4574.390788620934	-4570.820146735418	-3.5706418855155726	-4570.820146735418	0.19243312321828282	1.4989116461910847	1.0	-1.4989116461910847	0.8103455795540359	0.18965442044596403	0.3326797580880839
50000	-4571.193979394577	-4567.783881479511	-3.4100979150652417	-4567.783881479511	0.18000578430300265	1.3987091517462134	1.0	-1.3987091517462138	0.8103455795540359	0.18965442044596403	0.31285802545718205
51000	-4570.184214166122	-4567.103481484756	-3.0807326813654363	-4567.103481484756	0.19059668039032523	1.4271159296862128	1.0	-1.4271159296862126	0.797302847405754	0.20269715259424598	0.21686009511202822
52000	-4573.142586646593	-4570.139504371729	-3.003082274864413	-4570.139504371729	0.19509286413994137	1.5144653585888088	1.0	-1.5144653585888088	0.8235456382341313	0.17645436176586868	0.1829365344644422
53000	-4574.117629633379	-4570.7908022874	-3.326827345978722	-4570.7908022874	0.17972109694154004	1.3991498326120109	1.0	-1.3991498326120104	0.8235456382341313	0.17645436176586868	0.2872430448018957
54000	-4577.050538247243	-4574.247148138444	-2.8033901087993156	-4574.247148138444	0.19602593280970282	1.4976870766241905	1.0	-1.4976870766241905	0.8224696797603396	0.1775303202396604	0.15139890467846134
55000	-4574.532380649891	-4571.798535074023	-2.7338455758685614	-4571.798535074023	0.18224339760581817	1.4281425436934372	1.0	-1.4281425436934365	0.7996902376395815	0.20030976236041848	0.15139890467846134
56000	-4582.111151662568	-4579.219067447137	-2.8920842154314643	-4579.219067447137	0.22477368226023497	1.5863811832563395	1.0	-1.5863811832563393	0.7996902376395815	0.20030976236041848	0.15139890467846134
57000	-4565.819624579452	-4562.761894119649	-3.057730459802395	-4562.761894119649	0.19927130975658142	1.4289793817974312	1.0	-1.4289793817974314	0.7996902376395815	0.20030976236041848	0.2113794664746506
58000	-4571.800225168363	-4568.628225002029	-3.1720001663345756	-4568.628225002029	0.18999178529480462	1.3944841329901867	1.0	-1.394484132990187	0.7996902376395815	0.20030976236041848	0.24630563623358231
59000	-4571.317542779377	-4568.380777083595	-2.9367656957819994	-4568.380777083595	0.20707310094531925	1.4660098681119886	1.0	-1.466009868111988	0.8073848546243468	0.19261514537565302	0.17959245570251722
60000	-4576.216186032858	-4572.741236790059	-3.47494924279879	-4572.741236790059	0.1976919954588886	1.5516630629707657	1.0	-1.5516630629707655	0.8073848546243468	0.19261514537565302	0.28595704727605503
61000	-4573.730080304414	-4570.476008675097	-3.2540716293172474	-4570.476008675097	0.1698056567925078	1.3307854494892228	1.0	-1.3307854494892228	0.8073848546243468	0.19261514537565302	0.28595704727605503
62000	-4578.756885650558	-4575.287586082235	-3.4692995683227625	-4575.287586082235	0.18793511182760697	1.5436538878965325	1.0	-1.5436538878965322	0.8073848546243468	0.19261514537565302	0.2866473282961176
63000	-4576.209675112453	-4572.966947401544	-3.242727710909338	-4572.966947401544	0.21601175221869434	1.5180704822653854	1.0	-1.5180704822653857	0.8073848546243468	0.19261514537565302	0.23329457531451436
64000	-4569.791039501431	-4566.651348591786	-3.1396909096456542	-4566.651348591786	0.17537006921314388	1.4150336810017021	1.0	-1.415033681001702	0.8073848546243468	0.19261514537565302	0.23329457531451436
